Cycle,Charge_Capacity(mAh/g),Discharge_Capacity(mAh/g),CE(%),Chg.time (hr.),DChg.time (hr.),Accum.Chg.time (hr.),Accum.DChg.time (hr.),Cha. DC internal res. (ohms),Dcha. DC internal res. (ohms)
1,206.424,178.692,86.56,77.28,18.42,77.28,18.42,17.32,126.32
2,184.956,179.424,97,20.88,20.24,98.16,38.66,182.69,36.75
3,184.134,182.358,99.03,10.39,10.28,108.55,48.94,106.45,27.55
4,187.326,187.344,100.02,10.56,10.56,119.11,59.5,93.71,27.35
5,183.066,181.926,99.38,5.16,5.13,124.27,64.63,96.92,25.7
6,184.506,184.656,100.08,5.2,5.2,129.47,69.83,79.46,24.65
7,174.21,173.724,99.72,2.94,2.93,132.41,72.76,70.92,25.69
8,175.068,174.954,99.94,2.95,2.95,135.36,75.71,74.11,24.68
9,156.27,155.634,99.59,1.76,1.75,137.12,77.46,68.52,23.47
10,156.12,155.898,99.85,1.76,1.76,138.88,79.22,64.03,23.24
11,103.932,103.632,99.71,0.59,0.58,139.47,79.8,66.06,23.17
12,100.458,100.434,99.99,0.57,0.57,140.04,80.37,55.18,24.6
13,48.492,48.342,99.7,0.14,0.14,140.18,80.51,52.77,23.9
14,45.516,45.612,100.2,0.13,0.13,140.31,80.64,48.48,24.12
15,195.21,195.27,100.03,3.52,2.2,143.83,82.84,55.28,22.33
16,196.446,196.26,99.91,3.54,2.21,147.37,85.05,76.02,23.12
17,197.382,197.154,99.88,3.54,2.22,150.91,87.27,68.66,22.39
18,198.294,198.036,99.87,3.55,2.23,154.46,89.5,109,22.21
19,198.948,198.69,99.86,3.56,2.24,158.02,91.74,71.78,22.32
20,199.47,199.062,99.79,3.56,2.24,161.58,93.98,65.5,21.79
21,200.148,199.98,99.92,3.57,2.25,165.15,96.23,78.28,21.2
22,200.802,200.538,99.87,3.58,2.26,168.73,98.49,76.47,21.7
23,201.21,200.97,99.87,3.58,2.27,172.31,100.76,78.45,21.47
24,201.546,201.288,99.87,3.59,2.27,175.9,103.03,66.81,21.1
25,201.792,201.51,99.86,3.59,2.27,179.49,105.3,81.96,20.93
26,201.864,201.582,99.86,3.58,2.27,183.07,107.57,87.66,21.28
27,201.942,201.66,99.86,3.58,2.27,186.65,109.84,72.15,21.25
28,201.978,201.696,99.86,3.58,2.27,190.23,112.11,80.56,21.51
29,202.032,201.75,99.86,3.58,2.27,193.81,114.38,89.79,20.91
30,202.068,201.792,99.86,3.58,2.28,197.39,116.66,79.05,21.01
31,202.086,201.81,99.86,3.58,2.28,200.97,118.94,74.03,21.04
32,202.11,201.846,99.87,3.58,2.28,204.55,121.22,74.54,20.55
33,202.146,201.864,99.87,3.58,2.28,208.13,123.5,72.98,20.4
34,202.164,201.9,99.87,3.58,2.28,211.71,125.78,77.96,20.11
35,202.164,201.9,99.87,3.58,2.28,215.29,128.06,71.91,21.09
36,202.182,201.918,99.87,3.58,2.28,218.87,130.34,106.06,20.79
37,202.182,201.942,99.88,3.58,2.28,222.45,132.62,81.82,21.06
38,202.218,201.978,99.88,3.58,2.28,226.03,134.9,73.38,20.56
39,202.218,201.978,99.88,3.58,2.28,229.61,137.18,79.75,20.14
40,202.218,201.978,99.88,3.57,2.28,233.18,139.46,72.37,19.89
41,202.218,201.978,99.88,3.57,2.28,236.75,141.74,75.89,20.41
42,202.218,201.978,99.88,3.57,2.28,240.32,144.02,78.92,20.57
43,202.218,201.978,99.88,3.57,2.28,243.89,146.3,71.49,21.03
44,202.218,201.978,99.88,3.57,2.28,247.46,148.58,73.64,20.43
45,202.218,201.978,99.88,3.57,2.28,251.03,150.86,71.17,20.42
46,202.2,201.96,99.88,3.57,2.28,254.6,153.14,65.49,20.69
47,202.182,201.942,99.88,3.57,2.28,258.17,155.42,79.8,20.83
48,202.182,201.942,99.88,3.57,2.28,261.74,157.7,75.15,19.33
49,202.182,201.942,99.88,3.57,2.28,265.31,159.98,75.26,20.53
50,202.182,201.942,99.88,3.57,2.28,268.88,162.26,75.32,19.94
51,202.164,201.942,99.89,3.57,2.28,272.45,164.54,75.41,19.72
52,202.146,201.918,99.89,3.57,2.28,276.02,166.82,75.59,20.16
53,202.128,201.9,99.89,3.57,2.28,279.59,169.1,73.08,20.7
54,202.11,201.864,99.89,3.57,2.28,283.16,171.38,67,20.36
55,202.086,201.846,99.89,3.57,2.28,286.73,173.66,78.65,20.76
56,202.05,201.828,99.89,3.57,2.28,290.3,175.94,77.23,19.98
57,202.032,201.81,99.89,3.57,2.28,293.87,178.22,73.58,20.74
58,202.014,201.792,99.89,3.57,2.28,297.44,180.5,75.95,20.63
59,201.996,201.768,99.89,3.56,2.27,301,182.77,66.06,19.97
60,201.978,201.75,99.89,3.56,2.27,304.56,185.04,83.12,19.71
61,201.96,201.75,99.89,3.56,2.27,308.12,187.31,71.37,20.6
62,201.96,201.75,99.89,3.56,2.27,311.68,189.58,72.59,19.86
63,201.942,201.714,99.89,3.56,2.27,315.24,191.85,77.27,19.66
64,201.942,201.732,99.89,3.56,2.27,318.8,194.12,71,20.48
65,201.942,201.714,99.89,3.56,2.27,322.36,196.39,76.06,19.66
66,201.942,201.714,99.89,3.56,2.27,325.92,198.66,73.21,19.85
67,201.942,201.714,99.89,3.56,2.27,329.48,200.93,66.59,19.96
68,201.942,201.732,99.9,3.56,2.27,333.04,203.2,72.93,19.72
69,201.942,201.732,99.9,3.56,2.27,336.6,205.47,66.88,19.76
70,201.96,201.732,99.9,3.56,2.27,340.16,207.74,65.08,19.16
71,201.978,201.768,99.9,3.56,2.27,343.72,210.01,71.06,20.18
72,201.978,201.768,99.9,3.56,2.27,347.28,212.28,73.22,19.94
73,201.978,201.768,99.9,3.56,2.27,350.84,214.55,72.75,20.33
74,202.014,201.81,99.9,3.56,2.28,354.4,216.83,70.86,19.96
75,201.996,201.81,99.9,3.56,2.28,357.96,219.11,72.4,19.66
76,201.996,201.792,99.9,3.56,2.28,361.52,221.39,70.67,20.24
77,202.014,201.81,99.9,3.56,2.28,365.08,223.67,72.84,20.2
78,202.032,201.81,99.9,3.56,2.28,368.64,225.95,72.96,20.15
79,202.032,201.828,99.9,3.56,2.28,372.2,228.23,73.7,20.11
80,202.014,201.81,99.9,3.56,2.28,375.76,230.51,79.13,20.31
81,202.032,201.828,99.9,3.56,2.28,379.32,232.79,81.4,19.79
82,202.032,201.828,99.9,3.56,2.28,382.88,235.07,77.92,20.04
83,202.014,201.81,99.9,3.56,2.28,386.44,237.35,80.09,20.25
84,202.014,201.828,99.9,3.56,2.28,390,239.63,72.05,20.2
85,202.032,201.828,99.9,3.56,2.28,393.56,241.91,76.17,20.59
86,202.032,201.846,99.9,3.56,2.28,397.12,244.19,80.9,19.49
87,202.11,201.9,99.9,3.57,2.28,400.69,246.47,73.12,20.24
88,202.032,201.828,99.9,3.56,2.28,404.25,248.75,76.2,19.8
89,202.032,201.828,99.9,3.56,2.28,407.81,251.03,72.5,20.04
90,202.032,201.828,99.9,3.56,2.28,411.37,253.31,74.22,19.86
91,202.032,201.828,99.9,3.56,2.28,414.93,255.59,78.92,20.03
92,202.014,201.828,99.9,3.56,2.28,418.49,257.87,75.2,19.09
93,202.032,201.846,99.9,3.56,2.28,422.05,260.15,72.8,20.48
94,202.014,201.81,99.9,3.56,2.28,425.61,262.43,72.75,20.36
95,202.032,201.828,99.9,3.56,2.28,429.17,264.71,78.16,19.87
96,202.032,201.828,99.9,3.56,2.28,432.73,266.99,75.16,20.11
97,202.014,201.81,99.9,3.56,2.28,436.29,269.27,74.76,20.47
