Cycle,Charge_Capacity(mAh/g),Discharge_Capacity(mAh/g),CE(%),Chg.time (hr.),DChg.time (hr.),Accum.Chg.time (hr.),Accum.DChg.time (hr.)
1,290.89,243.45,83.69,67.51,18.14,67.51,18.14
2,229.135,224.165,97.84,18.87,18.45,86.38,36.59
3,227.33,224.94,98.95,18.72,18.52,105.1,55.11
4,227.765,225.83,99.15,18.75,18.59,123.85,73.7
5,225.665,223.86,99.2,9.29,9.21,133.14,82.91
6,225.345,224.2,99.49,9.28,9.23,142.42,92.14
7,225.605,224.555,99.53,9.29,9.24,151.71,101.38
8,222.97,221.635,99.4,4.59,4.56,156.3,105.94
9,222.39,221.65,99.67,4.58,4.56,160.88,110.5
10,222.36,221.65,99.68,4.58,4.56,165.46,115.06
11,217.035,216.035,99.54,2.67,2.66,168.13,117.72
12,216.84,216.29,99.75,2.67,2.66,170.8,120.38
13,216.55,216.05,99.76,2.67,2.66,173.47,123.04
14,204.075,203.255,99.6,1.68,1.67,175.15,124.71
15,203.965,203.56,99.8,1.68,1.68,176.83,126.39
16,203.4,203.01,99.81,1.67,1.67,178.5,128.06
17,157.91,156.65,99.2,0.65,0.64,179.15,128.7
18,149.325,149.13,99.87,0.61,0.61,179.76,129.31
19,147.535,147.405,99.91,0.61,0.61,180.37,129.92
20,114.665,113.085,98.61,0.24,0.23,180.61,130.15
21,107.405,107.485,100.09,0.22,0.22,180.83,130.37
22,104.855,104.965,100.1,0.22,0.22,181.05,130.59
23,229.135,230.765,100.72,3.09,2.84,184.14,133.43
24,231.315,230.555,99.67,3.12,2.84,187.26,136.27
25,231.105,230.41,99.7,3.11,2.84,190.37,139.11
26,230.845,230.185,99.71,3.11,2.84,193.48,141.95
27,230.605,229.96,99.72,3.1,2.83,196.58,144.78
28,230.365,229.735,99.72,3.1,2.83,199.68,147.61
29,230.09,229.475,99.73,3.09,2.83,202.77,150.44
30,229.865,229.25,99.73,3.09,2.82,205.86,153.26
31,229.54,228.945,99.74,3.08,2.82,208.94,156.08
32,229.25,228.67,99.74,3.08,2.82,212.02,158.9
33,228.945,228.36,99.75,3.07,2.81,215.09,161.71
34,228.62,228.055,99.75,3.06,2.81,218.15,164.52
35,228.33,227.765,99.75,3.06,2.81,221.21,167.33
36,228.005,227.44,99.75,3.06,2.8,224.27,170.13
37,227.685,227.135,99.76,3.05,2.8,227.32,172.93
38,227.36,226.795,99.76,3.05,2.79,230.37,175.72
39,227.005,226.46,99.76,3.04,2.79,233.41,178.51
40,226.67,226.135,99.76,3.03,2.79,236.44,181.3
41,226.375,225.83,99.76,3.03,2.78,239.47,184.08
42,226.005,225.475,99.76,3.02,2.78,242.49,186.86
43,225.7,225.165,99.77,3.02,2.77,245.51,189.63
44,225.345,224.81,99.77,3.01,2.77,248.52,192.4
45,225.02,224.505,99.77,3.01,2.77,251.53,195.17
46,224.65,224.135,99.77,3,2.76,254.53,197.93
47,224.31,223.795,99.77,3,2.76,257.53,200.69
48,223.99,223.475,99.77,3,2.75,260.53,203.44
49,223.65,223.15,99.78,2.99,2.75,263.52,206.19
50,223.295,222.795,99.78,2.98,2.75,266.5,208.94
51,222.955,222.455,99.78,2.98,2.74,269.48,211.68
52,222.615,222.115,99.78,2.97,2.74,272.45,214.42
53,222.26,221.76,99.78,2.97,2.73,275.42,217.15
54,221.94,221.455,99.78,2.97,2.73,278.39,219.88
55,221.57,221.085,99.78,2.96,2.72,281.35,222.6
56,221.23,220.745,99.78,2.95,2.72,284.3,225.32
57,220.905,220.425,99.78,2.95,2.72,287.25,228.04
58,220.52,220.035,99.79,2.94,2.71,290.19,230.75
59,220.195,219.73,99.79,2.94,2.71,293.13,233.46
60,219.875,219.405,99.79,2.93,2.7,296.06,236.16
61,219.55,219.085,99.79,2.93,2.7,298.99,238.86
62,219.195,218.73,99.79,2.92,2.7,301.91,241.56
63,218.86,218.405,99.79,2.92,2.69,304.83,244.25
64,218.52,218.065,99.79,2.91,2.69,307.74,246.94
65,218.195,217.745,99.79,2.91,2.68,310.65,249.62
66,217.875,217.42,99.79,2.91,2.68,313.56,252.3
67,217.52,217.065,99.8,2.9,2.67,316.46,254.97
68,217.21,216.76,99.79,2.9,2.67,319.36,257.64
69,216.875,216.42,99.8,2.89,2.67,322.25,260.31
70,216.565,216.115,99.8,2.89,2.66,325.14,262.97
71,216.21,215.775,99.8,2.88,2.66,328.02,265.63
72,215.89,215.455,99.8,2.88,2.65,330.9,268.28
73,215.6,215.16,99.8,2.87,2.65,333.77,270.93
74,215.275,214.84,99.8,2.87,2.65,336.64,273.58
75,214.97,214.535,99.8,2.86,2.64,339.5,276.22
76,214.63,214.195,99.8,2.86,2.64,342.36,278.86
77,214.37,213.935,99.8,2.86,2.64,345.22,281.5
78,214.065,213.63,99.8,2.85,2.63,348.07,284.13
79,213.725,213.305,99.8,2.85,2.63,350.92,286.76
80,213.42,213,99.8,2.84,2.62,353.76,289.38
81,213.115,212.695,99.8,2.84,2.62,356.6,292
82,212.825,212.405,99.8,2.83,2.62,359.43,294.62
83,212.5,212.08,99.8,2.83,2.61,362.26,297.23
84,212.175,211.76,99.8,2.82,2.61,365.08,299.84
85,211.905,211.485,99.8,2.82,2.61,367.9,302.45
